start_h,start_m,start_s,start_ms,end_h,end_m,end_s,end_ms,text
0,1,0,0,0,1,2,0,ん
0,1,25,0,0,1,28,0,ゴールデンウィークなんですけど
0,1,28,0,0,1,36,0,結構前から言ってた 宇都営画祭をやることにしました
0,1,36,0,0,1,58,0,ご縁もよろしくお願いします
0,1,58,0,0,2,0,0,皆さんこんばんは
0,2,0,0,0,2,2,0,ゴールデンウィーク初日ですかね
0,2,2,0,0,2,4,0,いかがお過ごしですか
0,2,4,0,0,2,10,0,休みじゃないという方もたくさんいらっしゃるんじゃないかなって思うんですけど
0,2,10,0,0,2,15,0,私ゴールデンウィーク何しようかなと思ったんですよね
0,2,15,0,0,2,19,0,音量機ありがとうございます
0,2,19,0,0,2,22,0,ゴールデンウィーク何やろうかなと思って
0,2,22,0,0,2,28,0,ゴールデンウィークの最終日がたぶん8日なんですよね
0,2,28,0,0,2,36,0,5月8日の日曜日かなに宇都営画祭っていう
0,2,36,0,0,2,39,0,宇都営画っていうとね
0,2,39,0,0,2,42,0,本当にもしかしたらちょっと失礼なのかもしれないんですけど
0,2,42,0,0,2,46,0,見るとすごいもうすごい素敵な映画なんだけど
0,2,46,0,0,2,49,0,素晴らしい作品だけれども
0,2,49,0,0,2,53,0,しんどみたいななる映画を3つ見るっていう
0,2,53,0,0,2,57,0,セブン・ミスト・ダンサーインターダークです
0,2,57,0,0,3,5,0,でたぶん私が調べたところによるとすべてnetflixで見ることができるんですけれども
0,3,5,0,0,3,10,0,たぶん見られると思う
0,3,10,0,0,3,17,0,そうで毎回ねそれぞれの作品で一人ずつゲストが来てくれて
0,3,17,0,0,3,19,0,ゲストと一緒に見ます
0,3,19,0,0,3,26,0,それはね誰が来てくれる予定かっていうのはまたちょっと
0,3,26,0,0,3,34,0,サムネイルとかでねちゃんとした告知を出すときに発表したいなと思うんですけど
0,3,34,0,0,3,37,0,5月8日なんですけれども
0,3,37,0,0,3,40,0,何時にしようかと
0,3,40,0,0,3,43,0,悩んでて何時から何時がいい
0,3,43,0,0,3,49,0,クリス以外に付き合ってくれるんか
0,3,49,0,0,3,51,0,すごいでしょ
0,3,51,0,0,3,55,0,なんと2人もいるんだクリスさん以外に付き合ってくれる人がね
0,3,55,0,0,4,1,0,でもこの人とこの人だろうなって思ってたぶん概ね合ってるよ
0,4,1,0,0,4,4,0,概ね合ってる
0,4,4,0,0,4,5,0,皆さんの予想合ってる
0,4,5,0,0,4,9,0,だいたいこんなゴールデンウィークの最終日なんですけど
0,4,9,0,0,4,13,0,うつエゴを3つ見ようと思っていて同時視聴なんですけど
0,4,13,0,0,4,15,0,一緒に見てもらえませんか1本っていったときに
0,4,15,0,0,4,20,0,私が声かけられる人ってほぼ限られるし
0,4,20,0,0,4,26,0,概ね多分想像できると思う
0,4,26,0,0,4,28,0,ですね
0,4,28,0,0,4,37,0,こちらもね昼からがいいのか夜がいいのかちょっとすごい悩んでるんだけど
