start_s,text
-5929,待機しておうる
-3858,待機
-3562,まだ0時だった待機
-3401,待機
-3117,二回行動すごい
-2664,待機
-2643,待機
-2612,待機
-2408,井上涼聴きすぎたわ。酒ミラーボールよかった。
-2357,待機
-1441,待機～おとなは自分で買え
-1411,待機
-960,待機
-736,待機
-702,待機
-544,待機
-521,待機
-498,待機
-462,待機
-449,待機
-415,待機
-311,待機
-230,楽しみな地獄
-181,待機
-159,待機ック
-132,待機
-132,待機
-107,待機
-103,待機
-98,待機
-76,待機
-63,こんばんわ
-34,待機
-31,待機
-31,待機
-30,待機
-26,待機
-17,待機
-11,待機
-4,待機
-4,待機
14,神OP
14,きた
15,こんばんは
18,きた
19,神OP
20,神OPきた！
20,こんばんは～
26,こんばんは
28,神OP
28,こんばんわー
29,きちゃ
30,神OP
31,こんばんは～
31,来たー
32,きちゃ
32,こんばんはぁ
32,さて、今日はどんなドリームが投稿されたのやら
33,こんばんは
36,神OP
38,こんばんはー
39,こんばんはー！
40,はじまた
40,こんばんは
41,こんばんわー！
42,神OP
46,きちゃ
46,こんばんはー
47,こんばんは～
49,こんばんはー
50,こんばんは〜
52,こんばんはー
53,こんばんは〜
54,オシャレ
54,こんばんわー
54,大裏さん
54,こんばんはー
55,こんばんはー
55,こんばんはー
58,こんばんは
58,こんばんはー
58,こんばんは
58,こんばんは～
58,こんばんは
58,こんばんわ
59,こんばんはー
59,こんばんはー
59,こんばんは～
60,こんばんはー
61,こんばんは～
61,こんばんわー
62,こんばんはーー
62,こんばんはー
63,こんばんはー
64,こんばんは～
65,こんばんはー
65,こんばんはー
65,こんばんは
65,こんばんはー
65,こんばんはー
66,こんばんはー
66,ｋおんばんはー
67,こんばんは～
68,こんばんはー
68,えｗ
69,こんばんはー
69,え？？
69,え
69,！？
70,え・・・
71,こんばんは
71,こんばんわー
71,ええ
72,ねなさい。
72,！？
72,やぁ大浦、こんばんは
72,無理でしょｗｗｗ
73,えっ！？ｗ
73,あｗ
74,6時起きなら寝れない
74,こんばんは〜
74,こんばんは
74,ねなさいｗ
74,寝てください
74,え！？
74,無理しないで…
75,むりやん
75,え？
75,延期しろよｗ
75,やばいな・・・
76,！？
76,やばくね
76,そういえばそうだよね！？
77,やば
77,え？
77,6時起き…？
77,こんばんはー
78,え!？
78,リハ前徹夜はやばい
78,ばんわ〜
80,えぇ
81,いや寝ようよｗ
81,早い
81,え？
81,寝て
81,寝な！
83,こんばんは！
83,寝なさいw
83,それはヤバいですよ
83,こんばんは。寝てｗ
84,それはヤバいw
85,こんばんは
86,るかこさん無理ゲーなのでは
86,六時起きか…
87,フラフラで怪我するやつ
87,リハ前は寝てください
87,早いｗ
87,１時間半できっちり終わって、寝ましょう
87,なんで枠とったｗｗｗｗ
87,こんばんは
88,今から睡眠配信に切り替えます？
89,睡眠不足でリハに出るなw
89,時間圧縮するしかないなぁ
89,はよ寝て…
89,大丈夫？
90,睡眠配信はよ
91,寝たらあかんやつ
92,寝てくれｗｗｗ
92,無理せんで
93,オウルナイトしちゃう？
94,通しのリハですよね
97,どう早くしても寝るの2時じゃね
98,朝弱いのに大丈夫？
98,がんば
99,それは…大丈夫ではないのでは…？
100,嫁の声より聴いたSE
100,今日は時間厳守で
101,オウルナイトがオールナイトになってまう
104,リハ前はちゃんと寝てもろて…
106,6時まで配信ですか
107,今日はタイムキープ大事ですね
107,寝なさい
107,ｼﾞｭﾋﾞｯ ｼﾞｭﾋﾞｯ 
107,無計画が過ぎひん？
107,お弁当が出るタイムスケジュールだ
107,DJるかこ
109,しゅしゅ！
109,寝ないでリハはヤバいですよw
110,あれ？土曜のスケジュール確認の上での配信だったのでは？
111,チューン的なスクラッチが
113,今夜の裏ラジは5時間睡眠配信ですか？
113,今日は時間厳守
113,#起きろるかこ
114,寝るラジでもいいですよ
115,終ったらすぐ寝てもろて
125,眠い？
126,なぜ裏ラジしてしまったのか
126,リハ場で寝ればいい
128,寝ましょう
128,寝ましょう
129,うんw
129,ｗｗ
129,6時起きは鬼畜…
130,寝な！
130,草
130,寝たほうが良い
131,そらそう
132,1時間で切り上げて寝てｗ
133,おいおいｗｗｗ
134,よりによって時間の掛かりそうなお題だな
134,睡眠配信はじめます？
135,Vの者、生活リズム崩れがち
136,少しでも寝た方がいいよｗ
137,大丈夫？
137,少しでも寝ときましょうw
137,あかんやん(´･ω･`)
138,ちゃんと寝てくださいｗ
139,でしょうねｗ
139,こんばんわ
140,ムリしないでもろて
141,睡眠時間は加算されない
141,寝てくださいw
143,明日というより今日じゃないの？
