start_s,text
-3126,待機
-2488,待機
-2225,待機
-1791,待機
-1533,待機
-1467,待機
-1288,2週間待ってた裏ラジ最高に楽しみ…◆
-1267,待機
-1141,待機
-1132,待機
-1024,ﾎｰｩ
-991,早めの待機
-967,待機
-861,待機
-542,待機
-525,待機
-378,待機
-313,待機
-263,待機
-243,待機
-187,待機
-157,いまどこにいるの
-129,待機
-92,待機
-58,待機
-51,待機
-50,待機
-41,待機
-40,どこなの
-25,待機
-22,待機
-20,待機
-14,どこなの待機
-1,分からない
6,きちゃ
6,待機
7,きちゃ
8,ｌはよう
13,きちゃ
14,きちゃ
17,きた
22,きちゃ！
23,きちゃ
23,きちゃ
35,きた！
39,きちゃ
40,きちゃ
58,ラジオリアタイできる、嬉しい！
61,きちゃ
61,きちゃ
62,きちゃ
64,きちゃ
64,こんばんは
64,こんばんわ
67,きちゃ
76,こんばんはー！
76,ポポピ↑
79,こんばんは！
79,？
80,こんばんは。
83,こんばんは
85,こんばんは
85,こんばんは～
86,こんばんはー
86,あっ
87,あっ
87,あー
87,こんばんは～
88,かもしれないですね……
88,こんばんは～
88,うーん、なんとも
89,あっ
89,どうだろう？
89,こんばんはー
89,おっ
90,そんなことないかとｗ
90,そんなことないよ！たぶん
90,こんばんはー
90,まぁ…そうね…
91,どうなんでしょう…
91,こんばんはー
93,こんばんわー！
93,そんなことなくってよ
93,そんなことないでしょ　ないよね
94,こんばんわー
94,人気よ
94,そそそそんなことは
94,こんばんはー
95,あっ
95,こんばんは
95,そ、そんなことないと思うw
96,うすうすそんな気はしている
97,そうかな・・・そうかも・・・
99,一般的には…
100,音量大丈夫そう…ジングルよし！
100,どうでしょうね
101,おいおい、その通りだよｗ
101,あるよ！
101,それは…
101,おこんばんは
101,そんなことなくない？
102,どういうこと……？
102,どうなんでしょうねぇ…
103,また議論が長引きそうなことを・・・！
105,最近SF要素があらゆる創作に盛り込まれてるような気がする
105,こんばんわー
108,そんなことは…ないんじゃかろうか…
108,SFだいすき
109,残念ながら・・・そうです・・・
111,こんばんは〜
111,こんばんはー
112,こんばんはー
113,SFが人気だと思ってるのSF好きだけ説
113,こんばんは
113,こんばんは
